Date,Customer,Sales Person,Customer_Age,Customer_Gender,State,Product_Category,Sub_Category,Payment Option,Quantity,Unit_Cost,Unit_Price
19-Feb-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,80,109
20-Feb-16,High,Segun,29,F,Abia,Clothing,Polo shirts,Online,2,24.5,28.5
27-Feb-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,3.67,5
12-Mar-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,87.5,116.5
12-Mar-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,35,41.67
08-Apr-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,66,78
17-Apr-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,52,60
17-Apr-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,60,68
22-Jun-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,8,10
22-Jun-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,2.5,3
24-Jun-16,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,2,17.5,21
01-Jul-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,40,48.67
22-Jul-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,46,60
22-Jul-16,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,9,10
18-Aug-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,3,151.67,181.33
30-Aug-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,70,72.67
17-Sep-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,385,439
17-Sep-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,72.5,86.5
17-Sep-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,3,210,212.67
24-Sep-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,64,74
24-Sep-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,3,326.67,359.67
07-Oct-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,125,136
07-Oct-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,2,17.5,18
07-Oct-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,215,226
07-Oct-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,22,23
13-Oct-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,750,820
20-Oct-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,60,70.5
20-Oct-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,125,130
20-Oct-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,1,140,143
01-Nov-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,192.5,213.5
01-Nov-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,38.33,43.33
01-Nov-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,3,151.67,170
